cluster,category,precision
0,food_and_drink,0.3442622950819672
1,travel,0.26548672566371684
10,citizen_journalism,0.22580645161290322
11,food_and_drink,0.13953488372093023
12,citizen_journalism,0.3
13,default_category,0.23529411764705882
14,travel,0.20754716981132076
15,citizen_journalism,0.17333333333333334
16,travel,0.2631578947368421
17,school_and_education,0.3137254901960784
18,conferences_and_other_events,0.31868131868131866
19,travel,0.17567567567567569
2,videoblogging,0.19047619047619047
20,health,0.2730627306273063
21,autos_and_vehicles,0.16
22,food_and_drink,0.3076923076923077
23,autos_and_vehicles,0.13135593220338984
24,travel,1.0
25,travel,0.27586206896551724
26,health,0.23423423423423423
27,citizen_journalism,0.5785123966942148
28,food_and_drink,0.17757009345794392
29,autos_and_vehicles,0.44047619047619047
3,citizen_journalism,0.6306306306306306
30,autos_and_vehicles,0.18181818181818182
31,travel,0.1724137931034483
32,health,0.5217391304347826
33,food_and_drink,0.36363636363636365
34,default_category,0.2653061224489796
35,travel,0.24528301886792453
36,travel,0.20833333333333334
37,travel,0.3
38,food_and_drink,0.375
39,travel,0.2
4,travel,0.2967032967032967
40,food_and_drink,0.17391304347826086
41,school_and_education,0.30303030303030304
42,the_mainstream_media,0.17857142857142858
43,autos_and_vehicles,0.13953488372093023
44,food_and_drink,0.2631578947368421
5,citizen_journalism,0.38404452690166974
6,conferences_and_other_events,0.1815856777493606
7,conferences_and_other_events,0.14893617021276595
8,travel,0.12663755458515283
9,travel,0.2222222222222222
